Species,Exotic,Invasive,Monocot
Eupatorium altissimum,0,,0
Eupatorium coelestinum,0,,0
Eupatorium perfoliatum,0,,0
Eupatorium purpureum,0,,0
Eupatorium rugosum,0,,0
Eupatorium serotinum,0,,0
Euphorbia commutata,0,,0
Euphorbia corollata,0,,0
Euphorbia cyanthophora,0,,0
Euphorbia cyathophora,0,,0
Euphorbia dentata,0,,0
Euphorbia maculata,0,,0
Euphorbia nutans,0,,0
Fallopia scandens,0,,0
Fragaria virginiana,0,,0
Fraxinus americana,0,,0
Fraxinus pennsylvanica,0,,0
Fraxinus spp,0,,0
Fraxinus spp,0,,0
Galium aparine,0,,0
Galium circaezans,0,,0
Galium concinnum,0,,0
Galium pilosum,0,,0
Galium tinctorium,0,,0
Gaura longiflora,0,,0
Geranium carolinianum,0,,0
Geranium maculatum,0,,0
Geum canadense,0,,0
Geum laciniatum,0,,0
Geum vernum,0,,0
Glandularia canadense,0,,0
Glechoma hederacea,1,1,0
Gleditsia triacanthos,0,,0
Gnaphalium obtusifolium,0,,0
Gratiola neglecta,0,,0
Gymnocladus dioica,0,,0
Hackelia virginiana,0,,0
Hedeoma hispida,0,,0
Hedeoma pulegioides,0,,0
Hedyotis crassifolia,0,,0
Hedyotis longifolia,0,,0
Hedyotis nigricans,0,,0
Helenium autumnale,0,,0
Helianthus divaricatus,0,,0
Helianthus hirsutus,0,,0
Helianthus occidentalis,0,,0
Helianthus pauciflorus,0,,0
Helianthus rigidus,0,,0
Helianthus tuberosus,0,,0
Hemerocallis fulva,0,,1
Heterotheca latifolia,0,,0
Heuchera americana,0,,0
Heuchera richardsonii,0,,0
Hibiscus lasiocarpos,0,,0
Hieracium gronovii,0,,0
Holosteum umbellatum,1,0,0
Humulus lupulus,0,,0
Hybanthus concolor,0,,0
Hydrangea arborescens,0,,0
Hydrastis carnadensis,0,,0
Hymenopappus scabiosaeus,0,,0
Hypericum  prolificum,0,,0
Hypericum perforatum,1,0,0
Hypericum pseudomaculatum,0,,0
Hypericum punctatum,0,,0
Hypericum sphaerocarpum,0,,0
Hypoxis hirsuta,0,,1
Ilex decidua,0,,0
Impatiens capensis,0,,0
Impatiens pallida,0,,0
Ipomoea hederacea,1,0,0
Ipomoea pandurata,1,0,0
Iresine rhizomatosa,0,,0
Iris germanica,1,0,1
